"","link_id","site_id","slope_lumped_mean","slope_lumped_sd","slope_lumped_min","slope_lumped_max","LC_1_lumped_prop","LC_2_lumped_prop","LC_3_lumped_prop","LC_4_lumped_prop","LC_5_lumped_prop","LC_6_lumped_prop","LC_7_lumped_prop","GEO_NAME_CZfg_lumped_prop","GEO_NAME_CZbg_lumped_prop","GEO_NAME_CZam_lumped_prop","GEO_NAME_Km_lumped_prop","GEO_NAME_CZg_lumped_prop","GEO_NAME_CZve_lumped_prop","GEO_NAME_CZig_lumped_prop","GEO_NAME_CZlg_lumped_prop","pontsrc_pontsrc_lumped_prop","slope_iFLS_mean","slope_iFLS_sd","LC_1_iFLS_prop","LC_2_iFLS_prop","LC_3_iFLS_prop","LC_4_iFLS_prop","LC_5_iFLS_prop","LC_6_iFLS_prop","LC_7_iFLS_prop","GEO_NAME_CZfg_iFLS_prop","GEO_NAME_CZbg_iFLS_prop","GEO_NAME_CZam_iFLS_prop","GEO_NAME_Km_iFLS_prop","GEO_NAME_CZg_iFLS_prop","GEO_NAME_CZve_iFLS_prop","GEO_NAME_CZig_iFLS_prop","GEO_NAME_CZlg_iFLS_prop","pontsrc_pontsrc_iFLS_prop","slope_iFLO_mean","slope_iFLO_sd","LC_1_iFLO_prop","LC_2_iFLO_prop","LC_3_iFLO_prop","LC_4_iFLO_prop","LC_5_iFLO_prop","LC_6_iFLO_prop","LC_7_iFLO_prop","GEO_NAME_CZfg_iFLO_prop","GEO_NAME_CZbg_iFLO_prop","GEO_NAME_CZam_iFLO_prop","GEO_NAME_Km_iFLO_prop","GEO_NAME_CZg_iFLO_prop","GEO_NAME_CZve_iFLO_prop","GEO_NAME_CZig_iFLO_prop","GEO_NAME_CZlg_iFLO_prop","pontsrc_pontsrc_iFLO_prop","slope_HAiFLO_mean","slope_HAiFLO_sd","LC_1_HAiFLO_prop","LC_2_HAiFLO_prop","LC_3_HAiFLO_prop","LC_4_HAiFLO_prop","LC_5_HAiFLO_prop","LC_6_HAiFLO_prop","LC_7_HAiFLO_prop","GEO_NAME_CZfg_HAiFLO_prop","GEO_NAME_CZbg_HAiFLO_prop","GEO_NAME_CZam_HAiFLO_prop","GEO_NAME_Km_HAiFLO_prop","GEO_NAME_CZg_HAiFLO_prop","GEO_NAME_CZve_HAiFLO_prop","GEO_NAME_CZig_HAiFLO_prop","GEO_NAME_CZlg_HAiFLO_prop","pontsrc_pontsrc_HAiFLO_prop","slope_HAiFLS_mean","slope_HAiFLS_sd","LC_1_HAiFLS_prop","LC_2_HAiFLS_prop","LC_3_HAiFLS_prop","LC_4_HAiFLS_prop","LC_5_HAiFLS_prop","LC_6_HAiFLS_prop","LC_7_HAiFLS_prop","GEO_NAME_CZfg_HAiFLS_prop","GEO_NAME_CZbg_HAiFLS_prop","GEO_NAME_CZam_HAiFLS_prop","GEO_NAME_Km_HAiFLS_prop","GEO_NAME_CZg_HAiFLS_prop","GEO_NAME_CZve_HAiFLS_prop","GEO_NAME_CZig_HAiFLS_prop","GEO_NAME_CZlg_HAiFLS_prop","pontsrc_pontsrc_HAiFLS_prop"
"1","5",NA,3.97316534388459,1.88509072016908,0.177864566445351,8.26051139831543,0.00471698113207547,0,0,0.433962264150943,0.561320754716981,0,0,0,1,0,0,0,0,0,0,0,4.01007694368883,1.86847547913212,0.00399938981918052,0,0,0.421737629237914,0.574262980942906,0,0,0,1,0,0,0,0,0,0,0,4.00505059995009,1.86277195548314,0.00392618817404462,0,0,0.412371349114626,0.583702462711329,0,0,0,1,0,0,0,0,0,0,0,2.58495010347377,1.52717533374745,0.000311281359234341,0,0,0.36565425844196,0.634034460198806,0,0,0,1,0,0,0,0,0,0,0,3.37954362143505,1.76513062030152,0.00121457687130901,0,0,0.441503043707243,0.557282379421448,0,0,0,1,0,0,0,0,0,0,0
"2","4",NA,4.80761779892829,2.40072755667221,0.384692758321762,10.4374055862427,0,0,0,0.103225806451613,0.896774193548387,0,0,0,0,0,0,1,0,0,0,0,4.92389945979759,2.4227388997092,0,0,0,0.0910232813368107,0.908976718663189,0,0,0,0,0,0,1,0,0,0,0,4.90902048039054,2.41989175171407,0,0,0,0.0897144492170962,0.910285550782904,0,0,0,0,0,0,1,0,0,0,0,4.21588946754475,1.72040804294387,0,0,0,0.0196859892499648,0.980314010750035,0,0,0,0,0,0,1,0,0,0,0,4.59223409419917,2.00316228212224,0,0,0,0.0442129152066092,0.955787084793391,0,0,0,0,0,0,1,0,0,0,0
"3","1191",NA,3.94303204038389,1.9262795271907,0.0655787885189056,12.6823406219482,0.0647845468053492,0,0.0912332838038633,0.0835066864784547,0.760475482912333,0,0,0,0.836552748885587,0,0,0.163447251114413,0,0,0,0,4.00995230896488,1.93837914813857,0.060834108405942,0,0.0915081605023207,0.0816224598726805,0.766035271219057,0,0,0,0.829494190433333,0,0,0.170505809566667,0,0,0,0,4.00397792772383,1.9422361607847,0.0470522062643957,0,0.11343476366096,0.0813842873960907,0.758128742678554,0,0,0,0.829547128698732,0,0,0.170452871301268,0,0,0,0,3.14611882064908,1.77092389518974,0.00504863390550445,0,0.099965751817546,0.19741585658297,0.697569757693979,0,0,0,0.775307040948873,0,0,0.224692959051127,0,0,0,0,3.93738102949046,1.83374940834027,0.0514193712448641,0,0.0863562657391673,0.0903248713467796,0.771899491669189,0,0,0,0.859837209808573,0,0,0.140162790191427,0,0,0,0
"4","1193",NA,4.06269430084415,2.29721282020068,0.119345806539059,14.913197517395,0.175043327556326,0,0.0534373194685153,0.0904101675332178,0.681109185441941,0,0,0,0.986424032351242,0.0135759676487579,0,0,0,0,0,0,4.12463568619938,2.32013851706705,0.178660144790896,0,0.0491829950231518,0.0860796350078165,0.686077225178136,0,0,0,0.98829214091097,0.0117078590890298,0,0,0,0,0,0,4.11528103420909,2.32110508756522,0.151757105585887,0,0.0643225388127702,0.0669644775257912,0.716955878075551,0,0,0,0.977234619432459,0.022765380567541,0,0,0,0,0,0,3.15994804948332,1.90003549256856,0.0612091870105217,0,0.00471966344096269,0.0150286128250103,0.919042536723505,0,0,0,0.998870997006187,0.00112900299381296,0,0,0,0,0,0,4.0160304113321,2.19431874050914,0.177261064985026,0,0.0525503653909783,0.0828427739726253,0.68734579565137,0,0,0,0.990785512827071,0.00921448717292908,0,0,0,0,0,0
"5","1194",NA,3.64451274477875,2.24244816615171,0.0576603934168816,14.5333948135376,0.0991222436309142,0,0.30079212160137,0.0774994647827018,0.502461999571826,0.00642260757867694,0.0137015628345108,0.837079854420895,0.0667951188182402,0.0961250267608649,0,0,0,0,0,0,3.70001347879487,2.26286042357098,0.0922735895586368,0,0.297063387925458,0.0767620204152973,0.513084114247191,0.00730331594385374,0.0135135719095628,0.844021141327956,0.061607135300334,0.0943717233717101,0,0,0,0,0,0,3.67239001142082,2.26722518114574,0.0816260669652787,0,0.302450508070577,0.0802460230658512,0.52080995842428,0.00491833661075361,0.00994910686325906,0.819950547922781,0.0530171262926896,0.127032325784529,0,0,0,0,0,0,3.15325892120541,1.8536931958035,0.0414887974297882,0,0.313763116538023,0.0316444205173069,0.60576571724727,0.00627475845512599,0.00106318981248631,0.851214249503923,0.00250937144625487,0.146276379049822,0,0,0,0,0,0,3.52885161100264,2.14901978904125,0.0874547958195488,0,0.305683346573408,0.0857471873479284,0.498541105478937,0.00316300741280148,0.0194105573673762,0.83864095519208,0.0561187364283871,0.105240308379533,0,0,0,0,0,0
"6","1196",NA,3.62245687801811,2.26298469086934,0.117151454091072,15.0465726852417,0.272177419354839,0,0.316532258064516,0.0705645161290323,0.340725806451613,0,0,1,0,0,0,0,0,0,0,0,3.7077446780046,2.28756018219894,0.251695197494914,0,0.309122572012577,0.0743346771606198,0.364847553331889,0,0,1,0,0,0,0,0,0,0,0,3.68644342433851,2.29176235651865,0.225361741164967,0,0.333670239456859,0.0734160585730672,0.367551960805107,0,0,1,0,0,0,0,0,0,0,0,3.45212411479467,2.15672264128531,0.0764335792740636,0,0.294633576123928,0.0293123153593646,0.599620529242644,0,0,1,0,0,0,0,0,0,0,0,3.76981847245645,2.18336393127984,0.236499942815883,0,0.33930886823579,0.0777274278369604,0.346463761111366,0,0,1,0,0,0,0,0,0,0,0
"7","1",NA,3.51377216526257,1.71243328864267,0.317303746938705,8.17854499816895,0.768817204301075,0,0.043010752688172,0,0.188172043010753,0,0,1,0,0,0,0,0,0,0,0,3.60419978784155,1.73151568641994,0.754892393533516,0,0.0399791276789145,0,0.20512847878757,0,0,1,0,0,0,0,0,0,0,0,3.62028948267095,1.74559370698637,0.749071544999277,0,0.0394083334641886,0,0.211520121536534,0,0,1,0,0,0,0,0,0,0,0,3.42975460818925,1.27981357546304,0.789037177044422,0,0.00447475934483856,0,0.206488063610739,0,0,1,0,0,0,0,0,0,0,0,3.43808339022848,1.36856699483983,0.74569573071065,0,0.0139353614329434,0,0.240368907856406,0,0,1,0,0,0,0,0,0,0,0
"8","1189",NA,4.32703653514929,2.59090582852757,0.161591485142708,17.79221534729,0.301825993555317,0,0.421052631578947,0.103651987110634,0.159505907626208,0.0139634801288937,0,1,0,0,0,0,0,0,0,0,4.41327438782489,2.61492435802222,0.284062472845218,0,0.42487531234643,0.107311561792788,0.167693350750872,0.0160573022646915,0,1,0,0,0,0,0,0,0,0,4.38525722107504,2.61386327859421,0.308135373934454,0,0.388595880007461,0.105815048013457,0.184917871349191,0.0125358266954371,0,1,0,0,0,0,0,0,0,0,3.71523057304003,2.06470318323052,0.368621625638251,0,0.253199987985043,0.0953268821452274,0.260354258023446,0.0224972462080328,0,1,0,0,0,0,0,0,0,0,4.21295506361965,2.55700903566318,0.268840855494985,0,0.497320242089652,0.0836081488838449,0.129334573709036,0.0208961798224826,0,1,0,0,0,0,0,0,0,0
"9","30",NA,4.85687074245995,2.82138324324661,0.276677131652832,14.9948482513428,0.319852941176471,0,0.03125,0.130514705882353,0.518382352941177,0,0,1,0,0,0,0,0,0,0,0,5.00083127845051,2.85728115721772,0.307788289523797,0,0.0263996532718625,0.129173596975342,0.536638460228998,0,0,1,0,0,0,0,0,0,0,0,5.19665670668306,2.96384196478481,0.286470841365801,0,0.0219639141567268,0.11613704632349,0.575428198153982,0,0,1,0,0,0,0,0,0,0,0,3.94816669426867,2.24911732854095,0.124977961607028,0,0.00138297665965996,0.0730689291476255,0.800570132585686,0,0,1,0,0,0,0,0,0,0,0,4.67646913908278,2.38313230167675,0.365888129182344,0,0.00984322714847324,0.124827379796195,0.499441263872987,0,0,1,0,0,0,0,0,0,0,0
"10","8",NA,4.56045244804608,1.75977601855455,0.173035383224487,9.42808246612549,0.535055350553506,0,0,0,0.464944649446494,0,0,1,0,0,0,0,0,0,0,0,4.62892385071225,1.76125732081557,0.53407650784441,0,0,0,0.46592349215559,0,0,1,0,0,0,0,0,0,0,0,4.64481597278683,1.7584632077033,0.524156193381336,0,0,0,0.475843806618664,0,0,1,0,0,0,0,0,0,0,0,3.44834126099324,1.2748309699083,0.3449937195907,0,0,0,0.6550062804093,0,0,1,0,0,0,0,0,0,0,0,4.39830016233356,1.55458697052031,0.610818879940894,0,0,0,0.389181120059106,0,0,1,0,0,0,0,0,0,0,0
